City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
398,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
400,Sidney,AU,61.9,scattered clouds,-33.8679,151.2073,The Grace Sydney
402,San Quintin,MX,71.29,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
405,Kananga,CD,67.82,light rain,-5.8958,22.4178,Guest House Wood Land
407,Dehloran,IR,67.14,overcast clouds,32.6941,47.2679,کافه گیم استورم
409,Lamar,US,55.06,overcast clouds,33.6668,-95.5836,Kings Inn Paris TX
414,Dahuk,IQ,54.52,overcast clouds,36.8695,42.994,Parwar Hotel
415,Port Augusta,AU,64.54,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
416,Saldanha,ZA,62.65,light rain,-33.0117,17.9442,Blue Bay Lodge
419,San Luis,AR,65.89,moderate rain,-33.295,-66.3356,Huarpes Hotel
422,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
424,Alamor,EC,61.48,overcast clouds,-4.0181,-80.0197,Hotel central
425,Victoria,HK,67.98,overcast clouds,22.2855,114.1577,Mini Hotel Central
426,Pahrump,US,71.65,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
437,Lebu,CL,55.8,clear sky,-37.6167,-73.65,Hostal Las Lilas
438,Siyabuswa,ZA,62.67,broken clouds,-25.1132,29.0445,Survivor Africa Game Lodge
439,Viedma,AR,65.17,light rain,-40.8135,-62.9967,Hotel Cristal
444,Ampanihy,MG,60.49,clear sky,-24.7,44.75,Angora Hotel
448,Aswan,EG,72.21,clear sky,24.0934,32.907,Nuba Nile
450,Ranong,TH,74.7,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
452,Qurayyat,SA,50.18,clear sky,31.3318,37.3428,Mozon Furnished Aprtments
457,Bayonet Point,US,68.0,broken clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
458,Valparaiso,CL,71.24,clear sky,-33.0393,-71.6273,Hotel Ultramar
462,El Alto,PE,71.26,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
464,Port Neches,US,59.04,overcast clouds,29.9913,-93.9585,Jake's RV Park
466,Goroka,PG,65.46,overcast clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
468,Mahanoro,MG,70.9,moderate rain,-19.9,48.8,BUNGALOW MAHAMANINA
