City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Kedrovyy,RU,56.1667,91.8167,19.81,92,100,13.62,light snow
108,Kenai,US,60.5544,-151.2583,6.89,78,90,0.0,mist
109,Parakan,ID,-6.4191,106.0081,73.31,96,100,3.56,overcast clouds
110,Hermanus,ZA,-34.4187,19.2345,64.47,80,33,16.64,scattered clouds
111,Cayenne,GF,4.9333,-52.3333,82.44,83,75,4.61,broken clouds
112,Coquimbo,CL,-29.9533,-71.3436,64.13,72,20,12.66,few clouds
113,Kloulklubed,PW,7.0419,134.2556,79.3,77,87,14.34,overcast clouds
114,Inhambane,MZ,-23.865,35.3833,68.18,72,46,9.62,scattered clouds
115,Sitka,US,57.0531,-135.33,35.49,87,90,5.75,light snow
116,New Norfolk,AU,-42.7826,147.0587,58.5,59,6,2.35,clear sky
117,Solok,ID,-0.7918,100.6593,72.55,82,100,2.19,overcast clouds
118,Thompson,CA,55.7435,-97.8558,23.16,80,90,8.05,light snow
119,Kjopsvik,NO,68.097,16.3742,15.67,78,4,9.28,clear sky
120,Ondjiva,AO,-17.0667,15.7333,80.02,37,96,6.31,light rain
121,Avarua,CK,-21.2078,-159.775,82.45,83,20,11.5,light rain
122,Chabahar,IR,25.2919,60.643,74.73,64,0,3.47,clear sky
123,Dikson,RU,73.5069,80.5464,-11.22,97,100,8.81,overcast clouds
124,Manono,CD,-7.3,27.4167,69.19,92,15,1.83,few clouds
125,Togur,RU,58.3631,82.8265,24.35,95,100,10.22,light snow
126,Lewistown,US,40.5992,-77.5714,35.01,55,40,4.61,scattered clouds
127,Barrow,US,71.2906,-156.7887,-14.78,84,20,3.44,few clouds
128,Acarau,BR,-2.8856,-40.12,80.83,78,89,15.61,overcast clouds
129,Bagdarin,RU,54.4333,113.6,-5.3,97,29,4.29,scattered clouds
130,Kiunga,PG,-6.1219,141.2906,75.25,92,94,1.43,overcast clouds
131,Kroya,ID,-7.6331,109.2461,76.73,90,100,5.39,light rain
132,Khorixas,NA,-20.3667,14.9667,66.94,35,0,4.79,clear sky
133,Ternate,ID,0.8,127.4,81.46,81,94,4.03,overcast clouds
134,Superior,US,46.7208,-92.1041,37.08,66,40,3.44,scattered clouds
135,Betare Oya,CM,5.6,14.0833,69.78,43,88,3.51,overcast clouds
136,Jizan,SA,17.3333,42.6667,81.54,72,0,3.8,clear sky
137,Turukhansk,RU,65.8167,87.9833,1.71,92,100,11.79,overcast clouds
138,Hobyo,SO,5.3505,48.5268,80.15,82,56,8.93,broken clouds
139,Bredasdorp,ZA,-34.5322,20.0403,65.77,67,70,8.14,broken clouds
140,Callaguip,PH,18.0714,120.4867,73.42,94,75,0.0,broken clouds
141,Arman,RU,59.7,150.1667,-4.14,86,61,8.03,broken clouds
142,Solnechnyy,RU,50.7214,136.6319,11.32,94,69,5.37,broken clouds
143,Qaanaaq,GL,77.484,-69.3632,1.51,96,100,1.19,overcast clouds
144,Minsk Mazowiecki,PL,52.1794,21.5725,31.42,89,95,5.61,overcast clouds
145,Fortuna,US,40.5982,-124.1573,61.72,82,1,10.36,clear sky
146,Provideniya,RU,64.3833,-173.3,-5.33,84,10,5.86,clear sky
147,Rocha,UY,-34.4833,-54.3333,68.85,77,56,9.33,broken clouds
148,Hamilton,US,39.1834,-84.5333,47.03,51,40,8.05,scattered clouds
149,Warri,NG,5.5167,5.75,77.58,89,90,4.36,overcast clouds
150,Pacific Grove,US,36.6177,-121.9166,74.88,48,1,5.75,clear sky
151,Mar Del Plata,AR,-38.0023,-57.5575,62.53,91,98,18.57,moderate rain
152,Naze,JP,28.3667,129.4833,63.52,60,9,21.97,clear sky
153,Celestun,MX,20.8667,-90.4,78.44,65,24,11.23,few clouds
154,Zhigansk,RU,66.7697,123.3711,-2.78,98,100,5.03,overcast clouds
155,Mackenzie,CA,55.2999,-123.1698,26.82,93,90,8.05,snow
156,Chokwe,MZ,-24.5333,32.9833,65.07,68,21,4.09,few clouds
157,Joue-Les-Tours,FR,47.3522,0.6691,41.34,81,90,14.97,overcast clouds
158,Nortelandia,BR,-14.4547,-56.8028,80.08,78,100,1.01,overcast clouds
159,Praia,CV,14.9215,-23.5087,75.74,73,40,23.02,scattered clouds
160,Qaqortoq,GL,60.7167,-46.0333,37.9,96,100,7.65,moderate rain
161,Mukdahan,TH,16.5833,104.5,62.04,76,91,9.64,overcast clouds
162,Castro,BR,-24.7911,-50.0119,69.28,65,6,2.04,clear sky
163,Rawson,AR,-43.3002,-65.1023,61.32,60,6,13.96,clear sky
164,Muisne,EC,0.6,-80.0333,80.71,83,100,7.99,overcast clouds
165,Acapulco,MX,16.8634,-99.8901,85.82,66,1,8.05,clear sky
166,Launceston,AU,-41.45,147.1667,56.84,62,0,6.91,clear sky
167,Mwingi,KE,-0.9344,38.0601,64.76,98,100,2.42,moderate rain
168,Marawi,PH,7.9986,124.2928,69.22,90,97,2.13,overcast clouds
169,Saint-Philippe,RE,-21.3585,55.7679,76.59,85,59,6.78,light rain
170,Hasaki,JP,35.7333,140.8333,37.8,52,0,11.97,clear sky
171,Birao,CF,10.2849,22.7882,72.34,20,53,6.06,broken clouds
172,Pipri,IN,19.8,75.5333,64.0,58,95,4.81,overcast clouds
173,Norman Wells,CA,65.282,-126.8329,-18.36,76,20,0.0,few clouds
174,Kijang,KR,35.2442,129.2139,33.53,58,0,4.59,clear sky
175,Sorland,NO,67.667,12.6934,32.88,75,100,17.96,overcast clouds
176,La Rioja,ES,42.25,-2.5,29.98,89,99,12.33,light snow
177,Touros,BR,-5.1989,-35.4608,83.3,74,45,11.14,scattered clouds
178,Gobabis,NA,-22.45,18.9667,73.53,15,56,5.19,broken clouds
179,Torbay,CA,47.6666,-52.7314,50.77,93,90,23.02,moderate rain
180,Lesosibirsk,RU,58.2358,92.4828,19.18,94,100,8.79,light snow
181,Guerrero Negro,MX,27.9769,-114.0611,76.26,40,0,10.51,clear sky
182,Kaitangata,NZ,-46.2817,169.8464,57.9,53,45,1.03,scattered clouds
183,Jacareacanga,BR,-6.2222,-57.7528,75.02,96,100,1.81,overcast clouds
184,Qandala,SO,11.472,49.8728,78.93,61,63,4.09,broken clouds
185,Pangnirtung,CA,66.1451,-65.7125,16.59,77,100,7.49,overcast clouds
186,Kathmandu,NP,27.7167,85.3167,48.42,100,20,2.3,mist
187,Bellefontaine,US,40.3612,-83.7597,41.83,75,100,11.5,snow
188,Upernavik,GL,72.7868,-56.1549,7.52,98,86,6.62,overcast clouds
189,Millinocket,US,45.6573,-68.7098,26.71,68,75,18.41,broken clouds
190,Waddan,LY,29.1614,16.139,71.2,34,60,4.12,broken clouds
191,Ucluelet,CA,48.9329,-125.5528,52.11,94,100,14.52,light rain
192,Mehamn,NO,71.0357,27.8492,15.58,86,51,13.76,broken clouds
